year,team,division_rank,playoffs,attendance_game_avg,attendance_league_rank,est_payroll,ppf,bpf,stadium
2017,ATL,3,0,30929,8th of 15,119705250.0,100,100,SunTrust Park
2018,ATL,1,1,31553,7th of 15,115848667.0,101,101,SunTrust Park
2019,ATL,1,1,32779,8th of 15,133186667.0,103,105,SunTrust Park
1995,BAL,3,0,43034,1st of 14,43942521.0,101,102,Oriole Park at Camden Yards
1996,BAL,2,1,44475,1st of 14,54599315.0,99,100,Oriole Park at Camden Yards
1997,BAL,1,1,45816,1st of 14,58516400.0,96,97,Oriole Park at Camden Yards
1998,BAL,4,0,45490,1st of 14,72525634.0,97,98,Oriole Park at Camden Yards
1999,BAL,4,0,42385,2nd of 14,80805863.0,95,95,Oriole Park at Camden Yards
2000,BAL,4,0,40704,2nd of 14,82347435.0,96,95,Oriole Park at Camden Yards
2001,BAL,4,0,38686,4th of 14,74279540.0,96,95,Oriole Park at Camden Yards
2002,BAL,4,0,33117,3rd of 14,64493487.0,96,95,Oriole Park at Camden Yards
2003,BAL,4,0,30303,5th of 14,73877500.0,99,99,Oriole Park at Camden Yards
2004,BAL,3,0,33877,5th of 14,51623333.0,98,98,Oriole Park at Camden Yards
2005,BAL,4,0,32404,5th of 14,73914333.0,99,99,Oriole Park at Camden Yards
2006,BAL,4,0,26582,10th of 14,72585582.0,99,99,Oriole Park at Camden Yards
2007,BAL,4,0,26726,11th of 14,93174808.0,102,101,Oriole Park at Camden Yards
2008,BAL,5,0,24376,10th of 14,67196246.0,102,101,Oriole Park at Camden Yards
2009,BAL,5,0,23545,9th of 14,69904166.0,102,101,Oriole Park at Camden Yards
2010,BAL,5,0,21395,10th of 14,81612500.0,100,99,Oriole Park at Camden Yards
2011,BAL,5,0,21672,11th of 14,88299038.0,103,102,Oriole Park at Camden Yards
2012,BAL,2,1,25954,7th of 14,77949000.0,103,102,Oriole Park at Camden Yards
2013,BAL,3,0,29106,8th of 15,100832000.0,102,103,Oriole Park at Camden Yards
2014,BAL,1,1,30426,6th of 15,109097500.0,103,103,Oriole Park at Camden Yards
2015,BAL,3,0,29246,8th of 15,112989833.0,102,102,Oriole Park at Camden Yards
2016,BAL,2,1,26819,10th of 15,153744833.0,102,102,Oriole Park at Camden Yards
2017,BAL,5,0,25042,12th of 15,161621633.0,99,97,Oriole Park at Camden Yards
2018,BAL,5,0,19311,14th of 15,141555833.0,100,98,Oriole Park at Camden Yards
2019,BAL,5,0,16146,14th of 15,82696100.0,102,99,Oriole Park at Camden Yards
1995,BOS,1,1,30061,4th of 14,32455518.0,103,103,Fenway Park
1996,BOS,3,0,28583,6th of 14,42393500.0,101,101,Fenway Park
1997,BOS,4,0,27483,7th of 14,43558750.0,102,102,Fenway Park
1998,BOS,2,1,28577,9th of 14,56927000.0,101,102,Fenway Park
1999,BOS,2,1,30200,6th of 14,64097500.0,103,104,Fenway Park
2000,BOS,2,0,31925,6th of 14,79975333.0,103,103,Fenway Park
2001,BOS,2,0,32412,6th of 14,110035833.0,100,101,Fenway Park
2002,BOS,2,0,32727,4th of 14,108366060.0,102,103,Fenway Park
2003,BOS,2,1,33632,4th of 14,99946500.0,103,105,Fenway Park
2004,BOS,2,2,35028,4th of 14,127298500.0,104,106,Fenway Park
2005,BOS,2,1,35159,3rd of 14,123505125.0,104,104,Fenway Park
2006,BOS,3,0,36180,4th of 14,120099824.0,104,105,Fenway Park
2007,BOS,1,2,36676,4th of 14,143026214.0,105,106,Fenway Park
2008,BOS,2,1,37633,4th of 14,133390035.0,106,107,Fenway Park
2009,BOS,2,1,37811,3rd of 14,125439499.0,104,105,Fenway Park
